assumption_id,assumption_name,value,unit,category,source_type,source_reference,confidence,scenario_enabled,notes
SIM_001,Annual population growth rate,0.005,proportion,simulation,public_data_informed_proxy,"World Bank, Population growth (annual %), United States, indicator SP.POP.GROW",high_for_US_proxy,False,Uses 0.5% annual growth as a US-inspired national trend with simplified assumption of four regional population.
EPI_001,Annual diagnosed NSCLC incidence rate,40.9,cases_per_100k_per_year,epidemiology,evidence_backed,"Ganti et al. Update of Incidence, Prevalence, Survival, and Initial Treatment in Patients With NSCLC in the US, JAMA Oncology, 2021, PMID: 34673888",high_for_US_2017_estimate,True,Published diagnosed NSCLC incidence. This is not latent disease incidence.
EPI_002,Metastatic-stage share among diagnosed NSCLC cases,0.4792176039119805,proportion,epidemiology,evidence_backed_derived,"Ganti et al. Update of Incidence, Prevalence, Survival, and Initial Treatment in Patients With NSCLC in the US, JAMA Oncology, 2021, PMID: 34673888",high_for_US_2017_estimate,True,Derived as stage IV incidence (19.6 per 100k) divided by overall diagnosed NSCLC incidence (40.9 per 100k).
EPI_003,Diagnosis rate,0.8,proportion,epidemiology,synthetic_design,Assumption; not external evidence,design_choice,True,Used to create an unobserved latent disease-incidence layer. It is calibrated so baseline diagnosed incidence remains 40.9.
EPI_004,NSCLC prevalence at simulation start,198.3,cases_per_100k,epidemiology,evidence_backed,"Ganti et al. Update of Incidence, Prevalence, Survival, and Initial Treatment in Patients With NSCLC in the US, JAMA Oncology, 2021, PMID: 34673888",high_for_US_2016_estimate,False,All NSCLC prevalence at simulation start. bridge will identify patients relevant to therapy market.
EPI_005,Epidemiology change start month,115.0,month_index,epidemiology,synthetic_design,Assumption; not external evidence,design_choice,True,A pre-specified change in disease incidence begins in month 115.
EPI_006,Incidence multiplier after epidemiology change,1.12,multiplier,epidemiology,synthetic_design,Assumption; not external evidence,design_choice,True,A 12% increase in latent disease incidence after the regime change.
CLN_001,Composite biomarker-positive prevalence,0.3,proportion,clinical,synthetic_design,Assumption; not external evidence,design_choice,True,Assumed composite biomarker group used for the synthetic therapy market; not claimed as a real biomarker prevalence.
CLN_002,Monthly first-line initiation rate,0.72,proportion,clinical,synthetic_design,Assumption; not external evidence,design_choice,False,Share of eligible first-line candidates initiating treatment.
CLN_003,Monthly first-line progression rate,0.06,proportion,clinical,synthetic_design,Assumption; not external evidence,design_choice,False,Share of first-line active patients progressing to second-line eligibility.
PERS_001,Therapy A monthly discontinuation rate,0.08,proportion,persistence,synthetic_design,Assumption; not external evidence,design_choice,True,Applied to active Therapy A patients.
PERS_002,Therapy B monthly discontinuation rate,0.075,proportion,persistence,synthetic_design,Assumption; not external evidence,design_choice,True,Applied to active Therapy B patients.
PERS_003,Therapy C monthly discontinuation rate,0.085,proportion,persistence,synthetic_design,Assumption; not external evidence,design_choice,True,Applied to active Therapy C patients.
PERS_004,Therapy D monthly discontinuation rate,0.065,proportion,persistence,synthetic_design,Assumption; not external evidence,design_choice,True,Applied after Therapy D launches.
COMM_001,Therapy A units per patient-month,1.0,pack_equivalents_per_patient_month,commercial,synthetic_design,Assumption; not external evidence,design_choice,False,Synthetic utilization conversion factor.
COMM_002,Therapy B units per patient-month,1.0,pack_equivalents_per_patient_month,commercial,synthetic_design,Assumption; not external evidence,design_choice,False,Synthetic utilization conversion factor.
COMM_003,Therapy C units per patient-month,1.1,pack_equivalents_per_patient_month,commercial,synthetic_design,Assumption; not external evidence,design_choice,False,Slightly higher synthetic monthly utilization.
COMM_004,Therapy D units per patient-month,1.0,pack_equivalents_per_patient_month,commercial,synthetic_design,Assumption; not external evidence,design_choice,False,Synthetic utilization conversion factor.
COMP_001,Therapy D launch month number,85.0,month_index,competition,synthetic_design,Assumption; not external evidence,design_choice,True,Therapy D launches in month 85: January 2021.
CLN_004,Prevalent NSCLC to active metastatic-treatment pool bridge,0.06,proportion,clinical,synthetic_design,Assumption; not external evidence,design_choice,True,Share of all prevalent NSCLC patients represented as active metastatic patients in the fictional treatment market at Month 1.
CLN_005,Initial active patients in first line,0.7,proportion,clinical,synthetic_design,Assumption; not external evidence,design_choice,False,"At simulation start, 70% of active treated patients are in first line and 30% are in second line."
COMP_002,Therapy A launch month number,1.0,month_index,competition,synthetic_design,Assumption; not external evidence,design_choice,False,Therapy A is already available at the start of the simulation.
COMP_003,Therapy B launch month number,19.0,month_index,competition,synthetic_design,Assumption; not external evidence,design_choice,True,Therapy B launches during the early market period.
COMP_004,Therapy C launch month number,1.0,month_index,competition,synthetic_design,Assumption; not external evidence,design_choice,False,Therapy C is already available at the start of the simulation.
MKT_001,Outside option treatment weight,0.2,relative_weight,commercial,synthetic_design,Assumption; not external evidence,design_choice,False,"Represents other treatments, no treatment, or treatments outside the modeled therapy set."
MKT_002,Launch maturity speed,0.18,curve_parameter,commercial,synthetic_design,Assumption; not external evidence,design_choice,False,Controls how quickly a launched therapy approaches mature uptake.
MKT_003,Launch maturity midpoint,12.0,months_since_launch,commercial,synthetic_design,Assumption; not external evidence,design_choice,False,A therapy reaches roughly half of its maturity effect around 12 months after launch.
CLN_006,Monthly second-line initiation rate,0.65,proportion,clinical,synthetic_design,Assumption; not external evidence,design_choice,False,Share of second-line candidate pool starting a modeled or outside treatment.
PERS_005,Therapy A monthly discontinuation rate after deterioration,0.11,proportion,persistence,synthetic_design,Assumption; not external evidence,design_choice,True,Therapy A persistence worsens from month 103 onward. This event is not known before it appears in observed data.
SUP_001,Therapy D East limited-supply fill rate,0.7,proportion,supply,synthetic_design,Assumption; not external evidence,design_choice,True,"During the limited-supply period, observed sales equal 70% of latent demand for Therapy D in East."
SUP_002,Therapy D East limited-supply duration,6.0,months,supply,synthetic_design,Assumption; not external evidence,design_choice,True,Limited-supply period lasts six months after the effective month.
